date	author_id	text	sentiment	confidence
2025-11-17 14:51:13+00:00	1278691354466381825	@randomable_ Gpp jalanan kek gitu, yg penting utang whoosh kebayar dan IKN jalan teruuusss...	positive	0.5489839911460876
2025-11-17 14:44:23+00:00	1655848158457638912	@arumanjani_ Mng ap yg d tinggalkan Jokowi? Tol? Bkn apbn yg bngun tol. Bandara? Kertajati mati tuh, whoosh? Ngutang dn d korup pulak. IKN? Mangkrak ngk jelas! UU? Mn yg bela rakyat? Yg d tinggal Jokowi, anaknya dg ijasah ngk jelas, koruptor yg gilani, gaduh krn ijasahnya palsu. Msh d bela?😣	negative	0.8738663792610168
2025-11-17 14:38:06+00:00	40486186	Libur nataru nanti belanja domestik di gerakan oleh UMKM, jasamarga 😂 udah itu doang - kalo kalian denger pemerintah kasi insentif, subsidi itu istilah yg maksa taik kucing wangi | tiket Garuda , KAI whoosh naik pasti 🤣	negative	0.6056759357452393
2025-11-17 14:36:03+00:00	453931027	"https://t.co/5uMGQJh4IW

Apakah pak PYS penganut ideologi SUDAH TAPI BELUM juga?"	neutral	0.5775539875030518
2025-11-17 14:31:35+00:00	1428004543988523012	Omon2. Hutang whoosh saja masih dicicil. Mau hutang ke china lagi? https://t.co/tHruQa6nzC	negative	0.6733983159065247
2025-11-17 14:29:30+00:00	3580227492	"Rakyat dungu dan tidak peduli, adalah kesenangan dari penguasa yang zalim dan rakus.
Salam Whoosh Jakarta - Bandung https://t.co/n6A3fAGkvS"	negative	0.8617867231369019
2025-11-17 14:07:36+00:00	1859723872070979584	KPK Ungkap Modus Jual Beli Tanah Negara di Proyek Kereta Cepat Whoosh https://t.co/65aqSmnaRi via @Asatunews https://t.co/hDT1HNc13b	neutral	0.851612389087677
2025-11-17 14:06:11+00:00	1688328064357564417	"Dirut KCIC soal Utang Whoosh: Kita Serahkan ke Danantara 
#beritaretkini 
https://t.co/doumfMYPBA"	neutral	0.7894652485847473
2025-11-17 14:02:26+00:00	1454008204027854853	"Pejabat Negara Jual Tanah Negara   Enak Tenan Korupsi 
Proyek Whoosh  ?

""Periksa Sejumlah Saksi, KPK Dalami Dugaan Korupsi Lahan Kereta Cepat Whoosh"" https://t.co/L92EFYNB5m"	neutral	0.5825514197349548
2025-11-17 13:56:39+00:00	38915157	Restrukturisasi Utang Kereta Cepat Whoosh Diserahkan KCIC ke Danantara https://t.co/8aWxhjqXzA	neutral	0.8263760209083557
2025-11-17 13:54:34+00:00	1466815910518263808	Restrukturisasi Utang Kereta Cepat Whoosh: KCIC Serahkan Keputusan ke Danantara https://t.co/Nqo75NGBKt	neutral	0.7958552241325378
2025-11-17 13:50:50+00:00	1798339732608589824	travel aja ah daripada whoosh	neutral	0.4062460958957672
2025-11-17 13:50:00+00:00	4187275698	"KCIC Serahkan Skema Restrukturisasi Utang Whoosh ke Danantara 

https://t.co/1udVbG2ptX"	neutral	0.8507605791091919
2025-11-17 13:49:41+00:00	742417862	@randomable_ Org di pemerintahan emg gada yg mikirin buat benerin akses jalan di daerah yg kek gini apa. Daripada bikin whoosh mending benerin jalan noh yg jelas2 kerasa manfaatnya sama semua warga biar ga cuma ‘dipusat’ doang yg dibangun mulu	negative	0.6855263113975525
2025-11-17 13:47:34+00:00	1719012304120082432	@randomable_ Karena kereta cepat woosh lebihh penting ya gengsss..	positive	0.5110703110694885
2025-11-17 13:41:08+00:00	1457962786948988930	@hildoingwell Angkat beban utang whoosh bisa g	neutral	0.5547145009040833
2025-11-17 13:39:50+00:00	1466815910518263808	KPK Usut Dugaan Korupsi Lahan Proyek Kereta Cepat Whoosh: Modus dan Fakta Terbaru https://t.co/c4ezQYR9kl	neutral	0.5263840556144714
2025-11-17 13:39:40+00:00	1712461591910989824	"KPK Ungkap Modus Korupsi Whoosh: Tanah Punya Negara Dibeli Lagi Oleh Negara

Klik untuk baca: https://t.co/rbamZaLlsM"	neutral	0.5641258955001831
2025-11-17 13:26:36+00:00	3319260420	"Dirut KCIC soal Utang Whoosh: Kita Serahkan ke Danantara
https://t.co/tYROD9aZxC"	neutral	0.8455386757850647
2025-11-17 13:26:13+00:00	1665235202770370560	@DS_yantie Tidak akan mau. Dia sadar butuh kontroversi untuk menutupi kasus kereta cepat dan IKN	negative	0.7280033826828003
2025-11-17 13:25:11+00:00	24893875	"@afannni @Strategi_Bisnis hhehe.... mestinya kalau buat analisa, gunakan data yang benar. Cari dulu data sahihnya. Bukan data2 di medsos.

Utang proyek KCIC itu sudah pernah sy jelaskan, bukan Rp116T lebih, hanya sekitar Rp54T. Bisa cari di twit saya soal ini."	neutral	0.5434197187423706
2025-11-17 13:22:58+00:00	516165629	@ichannasution Selamat malam Kak. Mohon maaf mengenai pengecekan dan info update seputar perjalanan KA Whoosh, silakan dapat konfirmasi ke layanan pelanggan Kereta Cepat di Call Center: 150909, Whatsapp: 0811-8888-111 (hanya teks), Email: cs@kcic.co.id dan Instagram: @keretacepat_id dengan	neutral	0.8614522814750671
2025-11-17 13:22:38+00:00	1184500498738495488	@Galihholic_87 @Zeefire02 Eh termul brengsek keluarin foto aseli lo sialan biar terpampang wajah tolol lo anjing. Sama sekalian bayar hutang Whoosh anjing.	negative	0.8727781176567078
2025-11-17 13:22:09+00:00	54114263	@Strategi_Bisnis ada yg bikin tulisan 5 skenario kebangkrutan kereta cepat whoosh nih om @ferrykoto	neutral	0.4481777846813202
2025-11-17 13:21:52+00:00	482640378	@bagindo_kopi Kalau di pikir persis kita buat kereta cepat dari hutang ,kalau tidak kuat bayar cicilan ,bisa banyak aset negara tergadai , ingat srilanka.	negative	0.5443421006202698
2025-11-17 13:15:00+00:00	1243804423001763841	"Bengkak Anggaran Kereta Cepat Whoosh Tembus 22 Persen, Menteri BUMN Era Megawati: Sangat Tak Wajar!
https://t.co/EB34Sqa1H0"	negative	0.867222785949707
2025-11-17 13:13:10+00:00	36303825	Min @KAI121 , beneran nih tiket Whoosh awal Desember rute Halim - Padalarang &amp; sebaliknya udh habis semua? Atau ini aplikasinya lg error? 😞	negative	0.6769367456436157
2025-11-17 13:11:27+00:00	1673146197752827905	"@pieteriskandar0 @awikuchuz Bosen dengerin Indosat terus yg dibicarakan
Padahal Whoosh nilai korupsinya besar sekali
Tidak ada keuntungan yg diambil Bu Mega sebagai konsekuensi penjualan Indosat
Dan katanya ada yg mau buyback Indosat realisasinya ga ada"	negative	0.9015148282051086
2025-11-17 13:10:32+00:00	46693036	"Anthony menilai penyamaan kedua proyek itu misleading.

Ia bahkan mempertanyakan apakah kekeliruan tersebut sengaja dibuat untuk mendiskreditkan para pengkritik proyek Whoosh—termasuk yang mendorong penyelidikan hukum dugaan mark-up dan korupsi.

“Atau memang ada tujuan atau"	negative	0.8478052020072937
2025-11-17 13:10:31+00:00	46693036	"Anthony menilai perbandingan tersebut keliru dan menyesatkan.

Tiga Alasan Utama Anthony

🔹 1. Teknologi Berbeda Jauh
“Maglev itu melayang dan jauh lebih kompleks daripada Whoosh yang masih berbasis roda. Jadi, nothing to compare.”

🔹 2. Kecepatan Tidak Setara
Maglev: 500–600 https://t.co/tSkSZzmRqJ"	negative	0.6377910375595093
2025-11-17 13:10:29+00:00	46693036	"Perbandingan Kereta Whoosh vs Maglev Jepang Dipersoalkan Ekonom PEPS

Ekonom senior Political Economy and Policy Studies (PEPS), Anthony Budiawan, menanggapi tulisan mantan Menteri BUMN Laksamana Sukardi berjudul “Debat Kusir Whoosh” yang membandingkan biaya proyek Kereta Whoosh https://t.co/CtEejHs4yn"	neutral	0.7614885568618774
2025-11-17 13:02:37+00:00	1759245053225295872	"*Gibran RI-2 dan Whoosh: Cermin Publik yang Menolak, tapi Tetap Membiarkan* 

https://t.co/MAzKNSMi2Z"	neutral	0.6567047238349915
2025-11-17 13:02:24+00:00	1553045359990960128	@SammiSoh Whoosh khusus buat mereka yg mau liburan ke bandung .	neutral	0.6563985347747803
2025-11-17 13:00:33+00:00	1605930988638703617	@Gerindra Ohh kirain buat bayar hutang Whoosh😂	neutral	0.5002319812774658
2025-11-17 12:58:58+00:00	1125374325723238400	@AiraNtiePuspa Bener banget kak, sia sia bikin whoosh dan bangun IKN sementara jalan masih sprti ini	negative	0.5085680484771729
2025-11-17 12:55:14+00:00	1572061052220899331	semoga lrt/mrt ada diseluruh kota (minimal seluruh daerah jkt dulu)… terus kcic pls bgt kalo jadi sampe banyuwangi pls lewatin jogja 😆 bandara yia jauh ah magerr	negative	0.49313807487487793
2025-11-17 12:52:53+00:00	1846542536602697728	"@antaranews Tak ada yg tau apa yg terjadi esok ,bulan depan ,tahun depan ..
2029 masih jauh ..
Sudah bicara pilpres (kemenangan /terpilih kembali😀?) ..

Baik pikir dr mana uang buat bayar utang Whoosh 116 T,warisan Jokosolo 🙃?

Benar uang dr Koruptor ??

Itu lbh realistis di bahas !!!"	neutral	0.4978655278682709
2025-11-17 12:50:55+00:00	23343960	"Juru Bicara KPK Budi Prasetyo menyatakan bahwa modus kasus ini masih dalam penyelidikan. Namun, diduga negara membeli kembali tanah yang dijual yang dipelukan untuk pembangunan proyek ini.

👉🏻Baca selengkapnya https://t.co/KTjx0kn33b

~AM #Whoosh #KPK #Korupsi https://t.co/KMgLrFFpAR"	neutral	0.5263627171516418
